datetime,open,high,low,close,volume,rsi_14,rsi_signal,macd,macd_signal_line,macd_hist,macd_cross_signal,ema_fast_21,ema_slow_55,atr_14,long_run_bull,short_run_bear,drawdown_pct,drawdown_recovery,rsi_14_formula,macd_formula,long_run_bull_formula,short_run_bear_formula,drawdown_recovery_formula,live_execution_rule
2026-02-17 09:30:00-05:00,258.04998779296875,259.489990234375,255.5529937744141,258.70001220703125,2753104,,,0.0,0.0,0.0,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 09:35:00-05:00,258.70001220703125,259.6700134277344,258.0849914550781,259.0199890136719,691826,,,0.025525,0.005105,0.02042,bull_cross,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 09:40:00-05:00,259.0599975585937,259.6600036621094,258.6499938964844,258.9599914550781,529794,,,0.040447,0.012173,0.028273,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 09:45:00-05:00,258.94000244140625,259.7200012207031,258.3800048828125,259.2900085449219,604529,,,0.078002,0.025339,0.052663,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 09:50:00-05:00,259.29998779296875,259.6400146484375,258.5199890136719,259.09991455078125,355159,,,0.091373,0.038546,0.052827,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 09:55:00-05:00,259.1000061035156,259.1000061035156,258.17999267578125,258.6000061035156,403802,,,0.060929,0.043023,0.017906,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 10:00:00-05:00,258.55499267578125,259.7200012207031,258.4349975585937,259.5,369024,,,0.108177,0.056053,0.052123,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 10:05:00-05:00,259.5150146484375,259.7200012207031,259.1600036621094,259.6300048828125,296663,,,0.154332,0.075709,0.078623,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 10:10:00-05:00,259.6300048828125,260.0,259.260009765625,259.81500244140625,435426,,,0.203493,0.101266,0.102227,,,,,0,0,,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
2026-02-17 10:15:00-05:00,259.7900085449219,261.3900146484375,259.7850036621094,261.260009765625,737567,,,0.354961,0.152005,0.202956,,,,,0,0,0.0,0,"Wilder RSI 14: delta close, avg gain/loss with alpha=1/14, RSI=100-(100/(1+RS)). Signal label only: RSI<30 oversold_buy_watch, RSI>70 overbought_sell_watch.","MACD standard 12/26/9: EMA12(close)-EMA26(close), signal=EMA9(MACD), hist=MACD-signal. bull_cross when MACD crosses above signal, bear_cross when below.","Custom trend filter: EMA21>EMA55, close>EMA21, EMA21 slope up over 8 bars, EMA55 slope up over 8 bars, EMA21-EMA55 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom trend filter: EMA21<EMA55, close<EMA21, EMA21 slope down over 8 bars, EMA55 slope down over 8 bars, EMA55-EMA21 > 0.15*ATR14, all true for 5 bars, fire first confirmed bar only.","Custom recovery filter: rolling 50-bar max, drawdown=(close-rollmax)/rollmax. Signal when last 3 bars had drawdown<-1%, current drawdown improves vs prior candle, and current drawdown > -0.5%.","For real/live trading, do not enter on same candle close. Use signal candle close as confirmation and execute earliest on next candle/open."
